window,year,seed,metric,ann,mps,mps_minus_ann
2021-2022,2022,7,total_cost,110.83835535812378,71.14525979232788,-39.6930955657959
2021-2022,2021,8,period_return,0.1904769244162005,0.2368693211735046,0.04639239675730408
2021-2022,2021,8,sharpe,0.9292966188099138,1.4684602924428507,0.5391636736329369
2021-2022,2021,8,max_drawdown,-0.1119207745744499,-0.0758766163827319,0.03604415819171801
2021-2022,2021,8,annualized_turnover,1.0082053572966223,1.3966920576179338,0.3884867003213115
2021-2022,2021,8,total_cost,1023.7754281616212,1467.7104541473389,443.93502598571763
2021-2022,2022,8,period_return,-0.438745318899988,-0.1839297412078728,0.2548155776921152
2021-2022,2022,8,sharpe,-0.9294655869583932,-0.547410457397384,0.3820551295610092
2021-2022,2022,8,max_drawdown,-0.5773766951630805,-0.258582336227746,0.31879435893533453
2021-2022,2022,8,annualized_turnover,0.0261614945937829,0.1191589624683958,0.09299746787461291
2021-2022,2022,8,total_cost,17.220012772560118,117.5582216835022,100.33820891094209
2021-2022,2021,9,period_return,0.14626695038113,0.1735836939685671,0.027316743587437103
2021-2022,2021,9,sharpe,0.7701159142581511,0.8328819143616687,0.06276600010351763
2021-2022,2021,9,max_drawdown,-0.1127319735174686,-0.1234422398207186,-0.010710266303250005
2021-2022,2021,9,annualized_turnover,1.0838139002463183,0.9848293288290368,-0.09898457141728145
2021-2022,2021,9,total_cost,1097.8294726905824,998.9639255676268,-98.8655471229556
2021-2022,2022,9,period_return,-0.3702637351242768,-0.3783637990445347,-0.008100063920257916
2021-2022,2022,9,sharpe,-0.8460141409967945,-0.8515501827749031,-0.005536041778108625
2021-2022,2022,9,max_drawdown,-0.5402413157684852,-0.555421397622534,-0.015180081854048733
2021-2022,2022,9,annualized_turnover,0.0101774038783901,6.673133294550578e-05,-0.010110672545444595
2021-2022,2022,9,total_cost,6.732960735321045,0.036904369354248,-6.696056365966797
